facility_id,facility_type,facility_category,facility_subtype,name,address,district,lon,lat,total_area_m2
SCHOOL_640,学校,学校,小学,成都高新区西芯小学,四川省成都市金牛区汇川街138号,金牛区,103.979949,30.722261,9950.51310940019
SCHOOL_642,学校,学校,小学,成都市茶店子小学校(金禧分校),四川省成都市金牛区金禧三路333号,金牛区,103.980392,30.728597,12192.6415135197
SCHOOL_645,学校,学校,其他学校,先进技术成果西部转化中心,四川省成都市金牛区兴科中路,金牛区,103.989682,30.721167,7853.8580013548
SCHOOL_646,学校,学校,大学/高等院校,应急管理部四川消防研究所(金科南路),四川省成都市金牛区金科南路69号南院,金牛区,103.994808,30.719086,23158.4253928757
SCHOOL_647,学校,学校,小学,成都市茶店子小学校(金樽分校),四川省成都市金牛区金泉街道金樽二街599号,金牛区,103.993619,30.726184,15418.6525860334
SCHOOL_651,学校,学校,小学,成都市茶店子小学校(国宾校区),四川省成都市金牛区金科南三路76号,金牛区,104.002263,30.718624,19500.0037217129
SCHOOL_653,学校,学校,中学,成都七中万达教育集团金牛中学,四川省成都市金牛区金周路198号,金牛区,104.00128,30.727457,26167.5769469335
SCHOOL_654,学校,学校,中学,成都七中万达教育集团金牛中学(南校区),四川省成都市金牛区金周路197号,金牛区,104.002381,30.726149,9230.21309644199
SCHOOL_655,学校,学校,其他学校,成都市金牛区机关二幼(金周园区),四川省成都市金牛区信息园西路188号,金牛区,104.001381,30.725963,4176.48625592205
SCHOOL_657,学校,学校,小学,成都市兴盛小学,四川省成都市金牛区盛金路178号,金牛区,104.013597,30.731762,12263.2006802753
SCHOOL_658,学校,学校,小学,成都市石笋街小学校盛达校区,成都市金牛区盛达街兴盛世家-B区西南侧约200米,金牛区,104.007677,30.729972,18190.8548560363
SCHOOL_660,学校,学校,其他学校,成都七中万达学校,四川省成都市金牛区盛安路1号,金牛区,104.016584,30.733668,75493.4001974922
SCHOOL_661,学校,学校,小学,成都市全兴小学,四川省成都市金牛区侯家桥路289号,金牛区,104.008378,30.740805,13043.7736775411
SCHOOL_662,学校,学校,其他学校,成都七中万达学校-东区,|成都七中万达学样$成都七中万达中学$七中万达学校$四川省成都市第七中学万达学校$咸都七中万达学校,金牛区,104.016694,30.734168,49386.989648838
SCHOOL_663,学校,学校,其他学校,成都七中万达学校-西区,|成都七中万达学样$成都七中万达中学$七中万达学校$四川省成都市第七中学万达学校$咸都七中万达学校,金牛区,104.016187,30.73271,20473.8024877534
SCHOOL_664,学校,学校,其他学校,成都市石笋街教育集团希望校区,成都市金牛区,金牛区,104.017722,30.748934,6092.95739622704
